# h L2 H1 Linf
1.000000000000000056e-01 3.931632724150455060e-02 2.822668440018516120e-02 3.805593087615055659e-02
5.000000000000000278e-02 9.680261140455654820e-03 6.638873108278909273e-03 9.769535863373368656e-03
2.500000000000000139e-02 2.580297068223939144e-03 1.687092965753437569e-03 2.663895388765991079e-03
1.250000000000000069e-02 6.118727472349865188e-04 4.080693187981220688e-04 6.185823810397339528e-04
6.250000000000000347e-03 1.596273032495763779e-04 1.021255598902225250e-04 1.603676801307241107e-04
