# min|phi|/h    L2_error
5.221761e-02 5.438805e-03
5.254431e-02 5.646272e-03
5.266096e-02 4.491859e-03
5.310291e-02 5.457443e-03
5.356037e-02 5.153917e-03
5.380146e-02 4.361745e-03
5.566697e-02 4.972809e-03
5.631710e-02 4.376057e-03
5.765081e-02 5.576242e-03
5.767416e-02 5.402616e-03
6.163497e-02 5.670770e-03
6.204006e-02 5.691647e-03
6.392134e-02 5.611965e-03
6.422769e-02 4.438803e-03
6.578154e-02 5.639417e-03
6.709426e-02 5.468471e-03
6.844890e-02 5.283504e-03
6.846840e-02 5.643572e-03
6.855155e-02 4.878889e-03
6.923461e-02 4.591336e-03
7.085699e-02 5.145542e-03
7.147016e-02 4.487773e-03
7.203431e-02 5.580511e-03
7.335573e-02 4.964281e-03
7.345098e-02 4.364742e-03
7.563049e-02 4.376025e-03
8.442051e-02 5.640842e-03
8.643640e-02 4.870509e-03
8.644582e-02 5.584647e-03
8.776369e-02 4.585387e-03
9.107251e-02 4.955823e-03
9.312850e-02 4.367934e-03
9.497189e-02 4.376205e-03
